City Code Descriptio,Special Process Indi,BIDING AMMOUNT
BANSANKA,1166,588
BANSANKA,1167,593
BANSANKA,1164,595
BANSDRONI,1164,861
BANSHIHARI,1166,679
BANSHIHARI,1164,688
BANSHIHARI,1167,686
BANSLOI,1164,463
BANSLOI,1166,455
BANSLOI,1167,459
BANTALA,1164,884
BANKAPASHI,1164,552
BANPAS,1164,659
BELEPARA,1164,848
BELERHAT,1164,704
BELPUKUR,1166,702
BELPUKUR,1164,709
BELPUKUR,1167,707
BETNA,1167,729
BETNA,1164,731
BETNA,1166,724
BARA ATAGI,1166,664
BARA ATAGI,1167,669
BARA ATAGI,1164,671
BARAANDULIA,1164,592
BARAANDULIA,1167,590
BARAANDULIA,1166,585
BARAKULI,1167,521
BARAKULI,1166,516
BARAKULI,1164,525
BARALA,1166,196
BARALA,1167,200
BARALA,1164,200
BHABANIPUR,1167,808
BHABANIPUR,1166,803
BHABANIPUR,1164,810
BHALUKA,1166,664
BHALUKA,1164,671
BHALUKA,1167,669
BHANDERKHOLA,1166,702
BHANDERKHOLA,1164,709
BHANDERKHOLA,1167,707
BHIMPUR (KNJ),1164,731
BHIMPUR (KNJ),1166,724
BHIMPUR (KNJ),1167,729
BITRA,1164,764
BOHAR,1164,723
BAKSI,1164,955
BIBARDA,1164,850
BARANAGAR,1164,878
BARASAT,1164,811
BARDANGA,1167,672
BARDANGA,1164,674
BARDANGA,1166,667
BARDDHAMAN,1164,674
BARGRACHI,1164,887
BARGRACHI,1167,886
BARGRACHI,1166,881
BARISHA,1164,861
BARNIA,1166,664
BARNIA,1167,669
BARNIA,1164,671
BARAKPUR SRIPALLY,1166,803
BARAKPUR SRIPALLY,1167,808
BARAKPUR SRIPALLY,1164,810
BATNA,1167,590
BATNA,1166,585
BATNA,1164,592
BHAWANIPUR (MLD),1166,463
BHAWANIPUR (MLD),1167,468
BHAWANIPUR (MLD),1164,472
BUNIADPUR (DD),1164,701
BUNIADPUR (DD),1167,699
BUNIADPUR (DD),1166,694
BURDA,1164,981
BARSUL,1164,723
BALAPUR,1166,800
BALAPUR,1167,805
BALAPUR,1164,810
BASAPARA,1167,593
BASAPARA,1164,595
BASAPARA,1166,588
BASICMORE,1166,455
BASICMORE,1167,459
BASICMORE,1164,463
BASUDEVKHALI,1164,363
BASUDEVKHALI,1166,354
BASUDEVKHALI,1167,359
BASUDEVPUR,1164,356
BASUDEVPUR,1167,352
BASUDEVPUR,1166,347
BATASPUR,1164,528
BATASPUR,1167,525
BATASPUR,1166,520
BATIKAR,1164,595
BATIKAR,1167,593
BATIKAR,1166,588
BAUTIA,1166,455
BAUTIA,1167,459
BAUTIA,1164,463
BAXIPUR GHAT,1167,567
BAXIPUR GHAT,1166,562
BAXIPUR GHAT,1164,569
BAHIRCHARA,1167,711
BAHIRCHARA,1166,706
BAHIRCHARA,1164,713
BALIADANGA,1167,625
BALIADANGA,1164,629
BALIADANGA,1166,620
BAZARSO / MAJLISHPUR,1167,438
BAZARSO / MAJLISHPUR,1166,433
BAZARSO / MAJLISHPUR,1164,441
BAZITPUR,1167,849
BAZITPUR,1164,850
BAZITPUR,1166,844
BBD BAG,1164,850
BEGAMPUR,1164,970
BEKIBAGAN,1167,399
BEKIBAGAN,1164,403
BEKIBAGAN,1166,394
BELDA,1164,950
BAGOR,1164,359
BAGOR,1167,355
BAGOR,1166,350
BAHUTALI,1166,327
BAHUTALI,1167,332
BAHUTALI,1164,336
BALIA (MSD),1166,193
BALIA (MSD),1167,195
BALIA (MSD),1164,197
BELDANGA,1167,474
BELDANGA,1164,477
BELDANGA,1166,469
BELDANGA-1,1164,432
BELDANGA-1,1166,424
BELDANGA-1,1167,429
BELEGHATA-KOLKATA,1164,884
BELER HATT STN. RD.,1164,626
BHUTNI,1166,619.22
BHUTNI,1167,623
BHUTNI,1164,626.17
BELIAGHATA,1164,883
BELPAHARI,1164,981
BENGAI,1164,802
BENIAGRAM,1164,415
BENIAGRAM,1167,412
